fraud_uri,fraud_label,fraud_label_matched,gao_uri,gao_label,similarity_score,fraud_parents
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OpenEnrollmentPeriod,open enrollment period,open enrollment period,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125653,enrollment periods,0.85,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalAdministrativeProcess
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OperationalGovernmentFunds,Operational government funds,Operational government funds,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130975,personal non-government loans,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FundingStream
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OperationalGovernmentFunds,Operational government funds,operational government funds,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130975,personal non-government loans,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FundingStream
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OverpaymentFraud,overpayment fraud,overpayment fraud,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130739,overpayments,0.759,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConsumerFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Pandemic,pandemic,pandemic,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130780,pandemic,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Event
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Pandemic,pandemic,pandemic,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130781,pandemics,0.941,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Event
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Pandemic,pandemic,pandemic,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/148184,Academic,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Event
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Patient,patient,patient,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130842,patents,0.857,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Person
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PerformanceContract,performance contract,performance contract,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130938,performance-based contracting,0.833,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Contract
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PerformanceContract,performance contract,performance contract,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/136000,performance targets,0.769,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Contract
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PerformanceContract,performance contract,performance contract,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121532,aerospace contracts,0.769,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Contract
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PerformanceContract,performance contract,performance contract,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130933,performance monitoring,0.762,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Contract
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PerformanceContract,performance contract,performance contract,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130928,performance goals,0.757,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Contract
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PermanentResident,permanent US resident,permanent US resident,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130952,permanent residency,0.85,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/USCitizen
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PermanentResident,permanent US resident,permanent US resident,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128926,lawful permanent residents,0.766,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/USCitizen
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Person,person,person,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131340,prisons,0.769,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Person,person,person,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125805,erosion,0.769,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PersonalDataBreach,personal data breach,personal data breach,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130962,personal data,0.788,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DataBreach
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PersonallyIdentifiableInformation,personally identifiable information,personally identifiable information,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130981,personally identifiable information,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Identifier
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PersonallyIdentifiableInformation,personally identifiable information,personally identifiable information,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128133,individually identifiable health information,0.759,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Identifier
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PersonallyIdentifiableInformationTheft,personally identifiable information theft,personally identifiable information theft,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130981,personally identifiable information,0.921,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GrantFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthcareFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Theft
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Petitioner,petitioner,petitioner,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123606,competition,0.762,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Phishing,phishing,phishing,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131042,phishing,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CyberExploit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Phishing,phishing,phishing,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126500,fishing,0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CyberExploit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Phishing,phishing,phishing,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131611,publishing,0.778,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CyberExploit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Phramacist,pharmacist,pharmacist,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131034,pharmacist,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthProfessionals
