uri,label,all_labels
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134068,veterans organizations,veterans organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134194,volunteers,volunteers
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127599,health insurance exchanges,health insurance exchanges
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132876,state-based exchanges on the federal platform (SBE-FPs),state-based exchanges on the federal platform (SBE-FPs)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132875,state-based exchanges (SBEs),state-based exchanges (SBEs)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127224,Government Corporations and Government-related Organizations,Government Corporations and Government-related Organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131589,public sector,public sector
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133543,transportation corporations,transportation corporations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126014,farm credit banks,farm credit banks
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126299,federally chartered organizations,federally chartered organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129826,mixed-ownership government corporations,mixed-ownership government corporations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127266,government mortgage corporations,government mortgage corporations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124780,designated federal entities (DFEs),designated federal entities (DFEs)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127320,government-related private corporations,government-related private corporations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134915,internal administration systems,internal administration systems
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121412,accounting systems,accounting systems
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121410,accounting software,accounting software
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126238,federal purchasing platforms (online marketplaces),federal purchasing platforms (online marketplaces)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132838,State and Local Administration,State and Local Administration
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145740,programs to states and localities,programs to states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129138,locally administered programs,locally administered programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145737,federal aid to states and localities,federal aid to states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126069,federal aid to cities,federal aid to cities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123741,congressional districts and representation,congressional districts and representation
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132836,state agreements,state agreements
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132869,state prisons,state prisons
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131129,police departments,police departments
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132856,state and local taxation,state and local taxation
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129928,municipal taxes,municipal taxes
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132849,state and local government operations,state and local government operations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145732,acquisition and contracting in states and localities,acquisition and contracting in states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135449,special districts (local administration),special districts (local administration)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132852,state and local procurement,state and local procurement
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/136252,state and local government contractors,state and local government contractors
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131861,regional and metropolitan planning,regional and metropolitan planning
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131864,regional planning,regional planning
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133937,urban planning,urban planning
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134548,zoning,zoning
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132850,state and local laws,state and local laws
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129927,municipal laws,municipal laws
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132854,state and local relations,state and local relations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135228,intergovernmental service agreements (IGSAs),intergovernmental service agreements (IGSAs)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132843,state and local government employees,state and local government employees
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129923,municipal employees,municipal employees
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132853,state and local government programs,state and local government programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132870,state programs,state programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145736,programs by states and localities,programs by states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131863,regional development programs,regional development programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145738,state and local government aid,state and local government aid
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128518,interstate programs,interstate programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132864,state infrastructure banks,state infrastructure banks
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133356,territories and possessions,territories and possessions
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134974,state and local budgets,state and local budgets
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134975,state and local government spending,state and local government spending
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129123,loans to states and localities,loans to states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132844,state and local finance,state and local finance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145735,loans from states and localities,loans from states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145734,grants from states and localities,grants from states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135501,state and local government funds,state and local government funds
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145733,grants to states and localities,grants to states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129922,municipal budgets,municipal budgets
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132848,state and local government debt,state and local government debt
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132858,state budgets,state budgets
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145739,funding to states and localities,funding to states and localities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135057,state and local education administration,state and local education administration
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132842,state and local education programs,state and local education programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132839,state and local boards of education,state and local boards of education
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132223,school boards,school boards
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132857,state boards of education,state boards of education
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129925,municipal home rule,municipal home rule
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127283,Government Programs,Government Programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124536,defense support to civil authorities,defense support to civil authorities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145730,area-specific loans,area-specific loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131483,property improvement loans,property improvement loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145751,transportation loans,transportation loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121786,aircraft loan guarantees,aircraft loan guarantees
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132962,student loans,student loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145848,disaster and emergency loans,disaster and emergency loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135260,disaster loans,disaster loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127861,housing loans,housing loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145752,single-family housing loans,single-family housing loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121637,agricultural loans,agricultural loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121610,agricultural commodity loans,agricultural commodity loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121642,agricultural marketing loans,agricultural marketing loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121614,agricultural credit,agricultural credit
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122904,business loans,business loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132553,small business loans,small business loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125930,export credits,export credits
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122895,business development loans,business development loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145774,credit programs,credit programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121433,acquisition programs,acquisition programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145731,guaranteed loans (loan guarantees),guaranteed loans (loan guarantees)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128315,insured loans,insured loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126682,foreign loans,foreign loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134063,veterans loans,veterans loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126086,federal bank loans,federal bank loans
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126250,federal regulatory programs,federal regulatory programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131451,program waivers,program waivers
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134219,waivers,waivers
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129227,maintenance of effort (MOE) provisions,maintenance of effort (MOE) provisions
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131605,public-private partnerships,public-private partnerships
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131603,public-private competitions,public-private competitions
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126068,federal aid programs,federal aid programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122887,business assistance programs,business assistance programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132538,small business assistance,small business assistance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145759,COVID-19 business assistance,COVID-19 business assistance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122979,capital assistance,capital assistance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129780,minority business assistance,minority business assistance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126638,foreign aid programs,foreign aid programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121710,aid to the Palestinian Territories,aid to the Palestinian Territories
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127914,humanitarian aid,humanitarian aid
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127956,hygiene,hygiene
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126713,foreign technical aid,foreign technical aid
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126688,foreign military assistance,foreign military assistance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126696,foreign military training,foreign military training
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126664,foreign economic aid,foreign economic aid
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125211,education assistance abroad,education assistance abroad
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128570,Iraq reconstruction,Iraq reconstruction
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135489,aid to Ukraine,aid to Ukraine
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128413,international aid programs,international aid programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129908,multilateral assistance,multilateral assistance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121707,aid to Panama,aid to Panama
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121706,aid to Kenya,aid to Kenya
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121709,aid to the Caribbean region,aid to the Caribbean region
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121708,aid to refugees,aid to refugees
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131854,refugee resettlement,refugee resettlement
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131852,refugee camps,refugee camps
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121703,aid to Afghanistan,aid to Afghanistan
